x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28
3 2 1 1 4 3 4 1 1 4 1 3 1 1 4 1 2 1 3 4 1 4 3 4 3 1 4 1
2 1 1 1 2 1 2 1 1 1 1 4 1 2 3 1 3 2 2 4 2 3 1 4 2 1 2 1
2 1 2 1 2 1 2 2 2 2 1 2 2 2 4 1 2 1 2 2 2 4 4 4 2 1 4 1
3 4 2 1 2 1 4 1 3 2 1 3 3 4 3 1 4 1 2 4 2 4 2 3 4 2 4 1
1 1 1 1 3 1 1 1 1 4 1 1 1 1 4 1 1 1 1 4 1 4 1 4 1 1 4 1
2 3 3 1 3 1 2 3 3 1 1 2 2 2 1 1 2 1 2 2 2 3 1 3 1 1 3 1
4 4 3 3 4 1 4 2 3 4 3 3 4 4 4 1 4 3 4 4 2 2 2 3 4 4 3 2
2 4 1 2 3 1 4 1 3 3 2 3 3 2 4 1 3 2 3 4 3 4 2 4 2 1 3 2
3 4 2 1 3 1 4 2 2 2 1 3 2 3 2 1 3 1 2 3 3 4 2 3 3 2 4 2
2 2 3 1 4 1 1 1 3 4 1 3 2 2 4 1 3 1 2 4 3 4 2 4 1 1 4 1
1 3 1 1 3 1 3 1 1 3 1 1 1 2 3 1 2 2 1 4 1 2 2 4 2 1 2 2
1 2 1 1 2 1 3 1 1 2 1 2 1 1 2 1 1 1 1 4 1 4 2 2 1 1 4 2
3 2 1 1 4 1 4 1 1 4 1 3 1 1 3 1 3 1 3 4 1 4 3 4 4 1 4 1
1 3 1 1 2 1 3 1 3 2 1 3 1 4 2 1 2 1 4 4 2 4 2 3 3 1 3 1
2 4 1 1 2 2 4 1 3 2 1 2 1 2 2 1 3 2 2 4 3 4 2 3 2 1 4 2
4 3 NA 1 4 1 4 1 4 4 1 4 3 4 4 1 1 2 1 1 4 4 4 4 4 1 4 2
1 1 1 1 1 1 3 1 1 1 1 1 3 3 1 1 4 1 1 4 3 4 1 4 1 1 4 1
4 4 1 1 4 1 4 1 2 3 1 4 1 4 4 1 1 2 3 4 2 4 2 4 1 1 4 3
4 3 2 1 1 3 3 3 1 1 1 NA 2 1 NA 3 3 4 3 3 3 2 3 3 2 3 3 3
3 3 3 1 3 3 3 1 1 2 1 1 1 1 2 1 3 2 2 3 2 3 3 3 1 1 3 3
1 2 3 1 2 1 1 2 1 1 1 4 1 1 2 1 1 4 1 3 1 1 2 4 2 1 2 2
4 4 4 1 4 1 4 4 4 4 1 4 1 4 4 1 1 1 4 4 3 4 2 2 3 2 4 1
4 4 4 1 3 3 4 3 3 2 1 3 4 4 2 2 4 4 4 2 2 4 2 3 3 4 4 4
3 4 3 1 4 2 3 3 2 4 1 2 4 4 3 2 3 1 2 3 2 4 3 2 4 4 4 1
3 3 2 1 3 3 4 3 2 3 1 2 2 3 3 3 2 1 1 2 2 4 3 4 2 1 NA 1
3 2 3 4 4 1 3 2 2 4 1 4 2 4 3 1 2 1 2 3 2 4 2 4 3 1 4 1
4 1 1 1 4 1 1 1 1 4 1 1 1 1 2 1 4 2 2 4 1 4 1 4 2 1 4 1
2 4 1 1 4 1 4 1 2 2 1 4 1 2 4 1 3 1 3 4 2 4 2 4 3 1 4 1
2 2 3 1 3 1 3 2 1 3 1 2 1 2 3 1 2 1 3 2 2 3 2 3 2 1 4 1
4 3 1 1 2 1 3 1 2 2 1 2 2 3 2 1 3 1 3 4 3 4 2 3 4 2 3 1
1 2 1 1 4 1 1 2 1 2 1 1 1 2 4 1 4 1 3 4 1 4 3 4 3 1 3 1
3 4 3 1 2 3 3 3 2 2 1 4 3 3 2 1 4 4 2 4 3 4 2 4 4 2 4 4
1 1 1 1 3 1 4 1 1 2 1 2 1 3 3 1 3 1 NA 4 1 4 2 1 4 1 4 1
1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 3 2 1 3 1 2 1 1 1 1 2 1 2 2 1 4 1 4 2 1 4 1 4 1 1 4 1
4 3 4 1 1 3 4 2 2 3 1 1 1 3 3 1 3 1 2 2 4 4 1 4 2 1 4 2
1 2 1 1 2 1 2 1 2 2 1 1 1 2 2 1 1 1 2 1 1 4 2 2 2 1 4 1
3 3 1 1 4 1 4 1 1 3 1 4 2 4 3 1 3 2 1 4 2 4 4 4 1 1 4 2
1 3 4 4 4 3 2 3 2 3 4 2 3 1 1 4 2 1 4 1 2 4 4 1 4 4 2 1
4 4 2 1 3 1 4 1 3 3 1 4 4 4 4 1 4 3 3 4 1 4 4 3 4 4 4 1
4 3 2 1 3 1 4 1 2 3 1 2 1 3 3 1 1 1 4 4 3 4 3 3 3 1 4 1
4 2 3 3 2 2 4 3 4 1 1 3 2 3 2 2 4 4 4 2 4 4 2 3 2 4 2 3
2 4 2 1 4 1 4 3 4 2 1 4 3 2 2 1 4 1 3 2 NA 4 1 4 3 1 4 3
2 2 1 1 2 1 2 1 1 2 1 2 2 2 4 1 4 4 2 4 2 4 2 4 2 1 3 4
1 4 1 1 4 1 4 1 1 4 1 4 1 4 4 1 4 4 4 4 4 4 4 4 4 1 4 4
3 4 3 1 1 1 3 2 2 3 1 2 2 3 3 2 3 2 3 3 3 4 3 4 4 2 4 1
1 2 4 1 2 3 2 3 2 2 3 4 3 2 2 2 2 4 4 4 2 4 2 4 2 2 4 3
2 2 3 1 2 2 2 3 3 2 1 2 2 2 2 2 2 4 4 4 4 4 2 2 2 2 4 2
2 3 4 1 2 2 2 NA 4 2 1 3 2 3 2 2 4 4 NA 2 3 2 2 3 3 2 2 3
2 4 1 1 2 1 3 1 1 2 1 2 1 3 2 1 1 1 2 4 1 3 2 4 2 1 4 1
2 2 2 1 4 2 2 1 2 4 1 3 2 2 2 1 2 1 2 4 2 4 3 2 3 2 4 1
2 3 4 4 3 2 2 2 4 2 4 2 2 3 4 2 4 2 2 2 4 2 1 2 4 1 2 1
3 1 1 1 3 1 4 1 2 3 1 1 1 1 3 1 3 3 2 4 1 4 3 4 1 1 4 1
4 4 4 1 4 1 4 1 4 4 1 4 1 4 4 1 4 1 1 4 4 4 4 4 4 1 4 4
1 4 4 2 4 1 4 1 4 4 1 1 1 3 4 1 4 1 4 4 2 2 4 4 4 4 4 1
3 2 NA 1 1 NA 2 1 4 2 1 3 1 1 3 1 NA 1 1 4 1 4 3 4 4 1 3 1
4 2 1 2 4 4 4 1 2 2 2 4 2 4 4 1 4 1 2 4 2 4 2 4 4 1 4 1
2 2 1 1 4 1 3 1 3 4 1 3 4 3 4 1 1 1 4 4 3 4 3 4 3 4 4 1
4 3 1 1 2 1 4 1 2 2 1 3 1 2 3 1 3 3 3 3 1 4 2 3 2 1 4 2
4 3 1 1 4 1 1 2 1 4 1 3 1 2 2 3 4 1 4 4 1 4 4 4 4 1 4 3
1 4 3 1 3 1 4 2 2 1 1 4 4 4 3 2 4 4 4 4 4 4 4 4 4 4 4 4
3 3 1 1 2 1 4 1 2 2 1 1 1 3 2 1 4 1 2 4 4 3 4 4 3 1 4 1
1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 4 1 4 4 1 1 1 1 4 1
2 2 1 1 2 1 4 1 1 4 1 3 1 4 4 1 2 1 3 4 2 4 4 4 2 1 4 1
1 4 1 1 4 1 4 1 1 4 1 4 1 4 4 1 4 1 4 4 1 4 3 4 4 1 4 4
4 4 1 1 4 1 3 1 4 2 1 2 4 4 2 1 4 2 4 4 4 4 2 2 4 4 4 2
1 3 1 1 3 1 3 1 1 3 1 2 1 2 3 1 2 3 1 4 2 4 3 4 3 1 4 2
1 1 1 1 2 1 2 1 1 2 1 2 1 2 2 1 4 1 1 4 1 4 2 1 1 1 4 1
2 4 2 1 4 3 4 1 3 2 1 4 2 3 4 1 3 3 4 4 1 4 1 4 4 1 4 1
4 4 1 1 1 4 4 1 2 1 1 2 2 4 1 1 4 1 3 4 4 1 2 4 4 4 4 1
3 1 3 2 4 1 2 1 2 3 1 2 2 2 4 1 4 1 3 2 2 4 3 3 2 1 4 1
3 3 2 2 2 1 3 3 3 2 2 3 2 2 2 1 3 1 3 3 2 4 2 3 3 2 3 1
1 3 1 1 4 1 3 1 4 4 1 4 1 3 4 1 4 3 3 3 2 4 2 3 3 1 4 2
2 2 1 1 3 2 3 1 2 2 1 3 1 1 3 1 3 4 3 4 3 4 2 4 2 1 3 3
4 3 1 1 4 1 4 1 2 4 1 4 1 1 4 1 4 1 2 4 1 4 2 4 1 1 4 1
2 1 1 1 1 2 3 1 2 2 1 3 2 1 1 1 1 1 1 3 2 4 1 3 1 2 4 1
1 2 2 1 2 1 1 1 2 2 1 1 2 2 2 1 1 2 2 3 2 3 1 4 1 1 2 2
1 2 2 1 2 1 NA 2 2 1 1 1 1 1 2 1 2 1 1 2 4 4 4 4 NA 3 4 1
1 2 1 1 4 1 4 1 1 4 NA 4 1 1 4 1 4 4 1 4 1 4 4 4 4 1 4 4
4 4 1 1 3 1 4 1 1 4 1 4 1 4 3 1 4 NA 3 4 1 4 3 4 4 1 4 2
3 4 3 1 2 1 4 2 2 4 1 4 4 4 4 1 4 2 4 3 2 4 4 3 3 2 4 2
1 4 1 1 4 1 3 1 1 3 1 1 1 1 1 1 4 1 1 4 1 4 1 4 4 1 4 2
1 3 1 1 4 4 4 1 NA 3 1 3 1 4 4 1 1 1 3 3 3 3 3 3 4 1 4 1
4 4 1 1 3 1 3 1 1 3 1 4 1 2 3 1 4 4 4 4 3 4 2 4 4 1 4 3
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 3 1 3 1 4 1 4 1 1 4 3
1 4 1 1 3 1 4 1 3 3 1 2 1 4 2 1 4 1 1 4 3 4 2 3 4 2 4 1
2 2 1 1 4 1 3 1 1 2 1 3 1 2 4 1 2 4 1 4 1 4 1 4 1 1 4 1
3 3 NA 1 4 1 3 1 2 3 1 1 1 NA 4 1 2 1 4 4 2 4 2 4 4 1 4 1
3 4 1 2 4 1 4 1 3 4 1 3 3 4 4 1 4 3 3 3 3 4 3 4 2 4 3 1
3 3 2 1 4 2 2 1 2 4 1 4 1 2 4 1 3 1 3 4 3 4 4 4 4 1 4 1
4 4 1 1 4 1 4 1 2 2 1 1 1 4 4 1 4 1 4 4 2 4 2 4 3 1 4 1
2 3 1 1 1 1 4 1 3 2 1 4 1 4 3 2 4 2 2 4 2 4 3 4 4 2 4 2
2 3 1 1 3 1 3 1 2 2 1 4 1 3 2 1 4 3 2 3 3 3 2 4 3 1 3 3
2 3 2 1 4 4 2 1 4 2 1 2 4 1 2 3 2 1 1 3 4 4 4 4 4 4 4 1
1 4 1 1 3 1 4 2 1 4 1 NA NA 4 4 1 4 4 3 4 1 4 2 4 1 3 4 4
3 3 2 1 2 2 4 2 2 2 1 3 2 3 2 2 4 2 4 3 2 3 2 3 3 2 4 2
1 3 1 1 3 1 3 1 1 3 1 3 1 3 3 1 1 1 1 4 4 4 3 4 4 1 4 1
1 3 1 1 4 1 4 1 1 3 1 3 1 3 3 1 4 3 3 3 1 4 4 3 3 1 4 3
1 2 1 1 4 1 4 1 2 3 1 2 1 4 4 1 4 2 2 4 1 4 2 4 4 1 4 2
4 4 NA NA 4 4 4 4 4 4 4 4 4 4 1 1 1 1 4 4 4 4 4 4 4 4 4 4
NA 2 2 1 2 1 3 1 2 2 1 NA 2 NA 2 1 NA 2 2 NA 1 3 2 3 NA 2 3 1
2 1 1 1 1 1 2 2 2 2 1 1 2 1 2 1 1 1 2 1 1 2 1 2 1 1 4 1
2 2 1 1 2 1 4 1 2 2 1 2 1 4 3 1 4 1 3 3 2 4 4 4 4 1 4 1
3 3 1 1 4 1 4 1 1 2 1 4 1 3 4 1 4 1 1 4 1 4 2 4 4 1 4 1
4 4 2 1 2 2 4 2 2 1 1 2 2 2 3 1 1 1 2 2 2 4 3 2 3 2 4 1
1 2 1 1 4 1 4 1 1 1 1 1 1 1 4 1 3 1 3 4 1 1 1 4 1 1 4 1
2 2 1 1 2 1 3 1 2 2 1 2 1 2 2 1 3 1 2 4 2 3 1 4 2 1 4 1
2 4 3 1 4 1 4 1 2 4 1 3 2 3 4 1 4 2 2 4 2 3 3 3 4 1 3 2
1 3 1 1 2 1 3 1 1 3 1 2 2 3 2 1 3 1 3 4 2 4 2 4 1 1 3 1
1 2 4 4 1 2 2 1 1 1 4 2 4 2 2 2 1 1 3 4 1 1 1 2 2 2 1 1
1 1 3 1 3 1 3 1 1 3 1 3 1 1 1 1 4 3 2 3 2 4 2 3 2 1 4 2
3 2 4 2 4 1 3 4 4 2 1 4 2 2 4 1 4 4 1 4 4 4 2 4 4 1 4 1
4 4 1 1 4 1 4 1 1 4 1 2 1 1 4 1 3 2 1 4 1 4 3 4 3 1 4 1
2 1 3 1 4 3 1 3 2 3 1 2 3 1 4 2 3 1 4 3 4 3 1 4 3 1 4 1
1 4 1 1 1 1 3 1 2 2 1 3 2 4 2 1 3 1 3 4 1 2 2 3 3 1 2 1
4 4 2 1 4 1 4 1 4 4 1 4 2 2 4 1 4 4 4 4 4 4 4 4 4 2 4 4
2 4 4 1 4 1 4 2 4 4 1 1 1 4 4 1 4 3 4 4 4 4 4 4 4 2 4 3
3 4 NA 1 1 NA 4 4 1 1 1 2 4 1 4 1 1 1 1 3 2 4 3 4 2 1 4 1
1 2 1 1 1 1 1 1 1 2 1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 1
1 1 1 1 2 1 3 1 1 2 1 4 1 3 2 1 4 1 2 2 1 4 1 4 3 1 4 1
3 3 1 1 3 3 4 1 1 2 1 1 1 1 4 1 4 1 3 4 1 4 3 4 3 1 4 1
3 4 2 1 4 1 4 1 2 3 1 3 1 3 4 1 4 3 2 4 1 4 3 4 4 3 4 1
2 3 4 1 2 2 3 4 2 4 1 3 4 2 4 4 3 4 2 4 4 4 4 4 4 3 4 3
1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
1 4 4 1 1 2 4 2 1 2 1 4 1 2 2 1 4 1 2 2 4 4 2 2 4 4 4 1
2 3 1 1 3 1 3 1 1 3 1 4 2 3 2 1 4 2 4 4 2 4 3 3 4 1 4 2
3 4 2 1 1 1 3 NA 2 2 1 1 3 3 2 1 4 2 3 3 2 4 2 3 4 2 3 3
2 1 1 1 4 1 3 1 1 4 1 4 3 1 4 1 4 1 3 4 3 4 1 4 1 2 4 1
2 4 1 1 4 1 4 1 4 4 1 4 2 4 4 1 4 4 4 4 3 4 2 4 4 2 4 2
3 3 1 1 3 1 4 1 2 3 1 3 2 3 3 1 3 3 3 4 2 4 3 4 3 1 4 3
4 4 4 1 4 2 4 4 4 4 1 4 4 4 3 1 4 4 4 4 3 4 3 4 4 4 4 4
1 NA NA 1 1 1 1 2 1 1 NA 1 1 1 1 1 4 1 1 1 1 NA 2 1 2 1 4 1
1 1 1 1 4 1 1 1 1 2 1 1 1 1 2 1 2 1 1 4 2 2 2 4 1 1 2 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 2 4 2 1 3 1
3 3 1 1 3 1 3 1 1 2 1 3 1 3 4 1 3 1 1 4 1 4 1 4 3 1 4 1
4 4 1 1 4 1 4 1 2 4 1 4 1 1 4 1 4 2 4 4 1 4 3 4 4 1 4 1
3 3 1 1 4 1 2 1 1 4 1 3 1 1 3 1 4 2 3 4 1 4 3 4 3 1 4 1
2 3 1 1 4 1 2 1 2 3 1 4 1 2 4 1 4 2 2 4 2 4 3 4 2 1 4 1
3 4 2 1 2 1 3 1 1 2 1 4 2 4 2 1 4 1 3 3 1 3 3 4 3 2 4 1
1 3 2 1 1 1 3 2 3 2 1 2 1 3 2 2 3 1 4 2 3 4 4 3 3 4 4 1
4 4 2 1 2 1 4 2 3 2 1 2 1 2 2 1 4 1 4 4 4 4 4 4 4 1 4 1
3 2 1 1 4 1 2 3 2 3 1 2 1 2 4 1 2 1 3 3 1 4 3 4 4 1 4 1
2 2 4 1 2 4 4 2 3 1 1 2 3 3 2 NA 4 1 2 3 4 2 2 3 3 1 2 1
4 4 2 1 2 1 4 1 4 2 1 2 1 2 4 1 2 NA 2 2 2 2 2 4 3 1 1 2
3 3 1 2 4 1 3 1 1 3 1 3 1 2 3 1 2 1 2 1 1 2 1 3 1 1 2 1
2 4 4 2 4 1 4 1 2 4 1 4 3 4 4 1 4 1 NA NA NA NA NA NA NA NA NA NA
3 3 1 1 4 1 4 1 1 1 1 3 2 3 3 1 4 1 3 3 3 4 3 4 4 1 4 1
2 4 1 1 2 1 4 1 2 2 1 1 2 4 4 1 2 4 NA NA 2 4 1 4 2 2 4 2
4 4 1 1 2 1 4 1 2 4 1 NA 1 1 4 1 2 1 3 4 2 4 2 4 1 1 4 1
4 4 1 1 3 1 4 1 1 2 1 4 1 4 3 4 3 2 4 NA 1 4 2 4 3 1 4 1
2 3 1 1 3 1 3 1 2 3 1 3 1 2 3 1 4 2 3 3 2 4 3 4 2 1 3 2
2 1 3 1 4 3 1 3 2 3 1 2 3 1 4 2 3 1 4 3 4 3 1 4 3 1 4 1
2 4 2 1 4 4 4 1 2 3 1 4 1 4 4 1 4 3 4 4 3 4 3 4 3 1 4 3
2 2 1 1 2 1 4 1 1 4 1 4 1 4 4 1 2 2 3 3 1 1 4 3 2 1 2 2
1 NA 1 1 4 1 3 1 1 1 1 3 1 2 3 1 2 1 1 4 3 NA 2 4 2 1 4 1
4 4 2 1 4 1 4 1 2 4 1 3 2 3 4 1 3 2 4 3 3 4 4 3 3 1 4 1
3 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 4 1 1 1 1 1
1 4 2 1 4 3 4 1 1 4 1 2 4 4 2 2 2 3 4 3 3 4 1 3 3 4 4 1
2 4 1 1 4 1 4 1 4 4 1 4 1 2 4 4 4 4 3 4 2 4 2 4 2 1 4 3
4 4 1 1 2 2 4 4 2 2 1 2 3 3 2 1 4 1 4 4 2 4 2 4 3 2 4 1
3 4 2 1 4 1 4 2 2 4 1 3 1 3 4 1 3 1 2 4 1 4 2 4 2 1 4 1
3 2 1 1 2 1 3 1 2 2 1 3 1 2 2 1 3 3 4 3 2 4 2 3 3 1 4 2
4 4 2 1 3 1 4 1 1 2 1 3 2 3 2 1 3 2 3 4 2 4 2 3 3 2 3 1
2 2 2 1 1 2 2 2 2 2 1 2 4 4 1 2 2 2 4 3 3 3 2 2 2 3 3 2
2 4 1 1 4 1 2 1 1 3 1 4 1 1 4 1 3 3 4 4 3 4 3 4 2 1 4 3
2 2 4 1 1 2 2 4 2 1 1 2 2 2 1 2 2 1 2 2 2 2 1 2 2 1 2 1
3 2 4 1 2 3 3 2 1 2 1 1 2 2 2 2 1 1 3 2 4 2 2 2 2 1 3 1
4 4 4 1 4 NA 4 NA NA 4 1 1 3 4 4 3 4 4 3 3 3 4 4 4 NA 4 4 4
1 3 1 2 2 1 3 1 1 1 1 3 1 4 1 1 3 2 2 4 1 4 1 4 3 1 3 2
2 2 2 1 2 1 2 3 2 1 1 2 1 2 1 1 4 1 2 2 1 1 1 4 2 1 2 1
1 2 1 1 2 3 1 4 4 NA 1 3 2 2 3 2 2 1 1 2 1 4 3 1 2 1 4 1
1 3 4 1 2 1 3 1 1 2 1 2 4 3 2 1 4 1 2 4 1 2 2 3 3 4 3 1
2 4 1 1 2 1 3 1 3 1 1 1 1 2 1 1 1 1 2 4 2 4 1 4 2 1 4 1
3 3 2 1 1 1 2 1 1 2 1 2 1 4 1 1 3 1 4 4 2 4 2 4 4 1 4 1
3 1 2 1 4 1 4 1 3 3 1 4 1 2 4 1 4 2 1 3 1 4 2 4 3 1 3 1
4 1 1 1 4 1 4 1 1 4 1 1 1 1 4 1 1 1 1 4 1 4 3 4 3 1 4 1
1 4 1 1 3 1 4 1 4 2 1 4 1 1 4 1 4 1 2 4 1 4 2 4 3 1 4 2
3 2 2 1 3 3 3 2 1 3 1 2 1 3 4 2 4 1 3 3 2 3 2 3 2 2 3 1
3 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 2 1
4 3 1 2 3 1 4 1 2 2 2 3 2 3 3 1 4 3 3 4 4 4 4 3 4 1 3 2
2 4 1 1 4 1 4 1 3 3 1 3 2 4 3 1 3 1 4 4 2 4 2 4 4 1 4 1
1 4 4 2 2 2 1 1 1 2 2 1 2 1 2 2 1 1 1 1 1 2 1 1 1 3 2 1
2 1 1 1 2 1 2 1 1 1 1 4 1 2 3 1 3 2 2 4 2 3 1 4 2 1 2 1
2 4 1 2 3 1 4 1 3 3 2 3 3 2 4 1 3 2 3 4 3 4 2 4 2 1 3 2
1 1 1 1 3 1 3 1 1 4 1 1 1 3 4 1 3 1 1 3 3 4 3 3 4 1 4 1
2 4 1 1 2 1 4 1 2 4 1 4 1 1 4 1 4 3 4 4 2 4 3 4 4 1 4 1
3 2 1 1 3 1 3 1 1 3 1 3 1 2 2 1 2 2 3 3 1 2 3 3 2 2 2 2
4 4 1 1 4 1 4 1 2 3 1 3 2 4 4 1 4 3 4 4 2 4 3 4 4 1 4 3
3 1 3 1 4 1 2 2 2 2 1 4 3 4 4 4 4 2 2 3 2 4 3 3 3 2 4 2
2 3 1 1 4 1 4 1 1 2 1 2 1 1 4 1 1 3 1 4 2 4 2 4 4 1 4 4
3 4 1 1 4 1 1 1 1 1 1 2 2 3 3 1 4 2 3 4 3 4 3 4 4 1 4 2
